date,price_usd,phase,cycle,bull_monthly,bear_drop_total,r_avg_total
2038-12-01,151224.88,Bull,8,0.046780908667648724,0.77,0.0036782390808770687
2039-01-01,158299.32,Bull,8,0.046780908667648724,0.77,0.0036782390808770687
2039-02-01,165704.71,Bull,8,0.046780908667648724,0.77,0.0036782390808770687
2039-03-01,173456.52,Bull,8,0.046780908667648724,0.77,0.0036782390808770687
2039-04-01,181570.98,Bull,8,0.046780908667648724,0.77,0.0036782390808770687
2039-05-01,190065.03,Bull,8,0.046780908667648724,0.77,0.0036782390808770687
2039-06-01,198956.45,Bull,8,0.046780908667648724,0.77,0.0036782390808770687
2039-07-01,208263.81,Bull,8,0.046780908667648724,0.77,0.0036782390808770687
2039-08-01,218006.58,Bull,8,0.046780908667648724,0.77,0.0036782390808770687
2039-09-01,228205.12,Bull,8,0.046780908667648724,0.77,0.0036782390808770687
2039-10-01,238880.77,Bull,8,0.046780908667648724,0.77,0.0036782390808770687
2039-11-01,250055.83,Bull,8,0.046780908667648724,0.77,0.0036782390808770687
2039-12-01,261753.67,Bull,8,0.046780908667648724,0.77,0.0036782390808770687
2040-01-01,273998.74,Bull,8,0.046780908667648724,0.77,0.0036782390808770687
2040-02-01,286816.65,Bull,8,0.046780908667648724,0.77,0.0036782390808770687
2040-03-01,300234.19,Bull,8,0.046780908667648724,0.77,0.0036782390808770687
2040-04-01,314279.42,Bull,8,0.046780908667648724,0.77,0.0036782390808770687
2040-05-01,328981.7,Bull,8,0.046780908667648724,0.77,0.0036782390808770687
2040-06-01,344371.76,Bull,8,0.046780908667648724,0.77,0.0036782390808770687
2040-07-01,360481.79,Bull,8,0.046780908667648724,0.77,0.0036782390808770687
2040-08-01,377345.45,Bull,8,0.046780908667648724,0.77,0.0036782390808770687
2040-09-01,394998.01,Bull,8,0.046780908667648724,0.77,0.0036782390808770687
2040-10-01,413476.38,Bull,8,0.046780908667648724,0.77,0.0036782390808770687
2040-11-01,432819.18,Bull,8,0.046780908667648724,0.77,0.0036782390808770687
2040-12-01,453066.86,Bull,8,0.046780908667648724,0.77,0.0036782390808770687
2041-01-01,474261.74,Bull,8,0.046780908667648724,0.77,0.0036782390808770687
2041-02-01,496448.13,Bull,8,0.046780908667648724,0.77,0.0036782390808770687
2041-03-01,519672.43,Bull,8,0.046780908667648724,0.77,0.0036782390808770687
2041-04-01,543983.17,Bull,8,0.046780908667648724,0.77,0.0036782390808770687
2041-05-01,569431.2,Bull,8,0.046780908667648724,0.77,0.0036782390808770687
2041-06-01,596069.71,Bull,8,0.046780908667648724,0.77,0.0036782390808770687
2041-07-01,623954.39,Bull,8,0.046780908667648724,0.77,0.0036782390808770687
2041-08-01,653143.55,Bull,8,0.046780908667648724,0.77,0.0036782390808770687
2041-09-01,683698.19,Bull,8,0.046780908667648724,0.77,0.0036782390808770687
2041-10-01,715682.22,Bull,8,0.046780908667648724,0.77,0.0036782390808770687
2041-11-01,633185.38,Bear,9,0.0447631469094838,0.77,0.0022268809872009335
2041-12-01,560197.97,Bear,9,0.0447631469094838,0.77,0.0022268809872009335
2042-01-01,495623.84,Bear,9,0.0447631469094838,0.77,0.0022268809872009335
2042-02-01,438493.18,Bear,9,0.0447631469094838,0.77,0.0022268809872009335
2042-03-01,387947.98,Bear,9,0.0447631469094838,0.77,0.0022268809872009335
2042-04-01,343229.13,Bear,9,0.0447631469094838,0.77,0.0022268809872009335
2042-05-01,303665.04,Bear,9,0.0447631469094838,0.77,0.0022268809872009335
2042-06-01,268661.51,Bear,9,0.0447631469094838,0.77,0.0022268809872009335
2042-07-01,237692.84,Bear,9,0.0447631469094838,0.77,0.0022268809872009335
2042-08-01,210293.94,Bear,9,0.0447631469094838,0.77,0.0022268809872009335
2042-09-01,186053.31,Bear,9,0.0447631469094838,0.77,0.0022268809872009335
2042-10-01,164606.91,Bear,9,0.0447631469094838,0.77,0.0022268809872009335
2042-11-01,171975.23,Bull,9,0.0447631469094838,0.77,0.0022268809872009335
2042-12-01,179673.39,Bull,9,0.0447631469094838,0.77,0.0022268809872009335
2043-01-01,187716.13,Bull,9,0.0447631469094838,0.77,0.0022268809872009335
2043-02-01,196118.9,Bull,9,0.0447631469094838,0.77,0.0022268809872009335
2043-03-01,204897.8,Bull,9,0.0447631469094838,0.77,0.0022268809872009335
2043-04-01,214069.67,Bull,9,0.0447631469094838,0.77,0.0022268809872009335
2043-05-01,223652.1,Bull,9,0.0447631469094838,0.77,0.0022268809872009335
2043-06-01,233663.47,Bull,9,0.0447631469094838,0.77,0.0022268809872009335
2043-07-01,244122.98,Bull,9,0.0447631469094838,0.77,0.0022268809872009335
2043-08-01,255050.69,Bull,9,0.0447631469094838,0.77,0.0022268809872009335
2043-09-01,266467.57,Bull,9,0.0447631469094838,0.77,0.0022268809872009335
2043-10-01,278395.49,Bull,9,0.0447631469094838,0.77,0.0022268809872009335
2043-11-01,290857.35,Bull,9,0.0447631469094838,0.77,0.0022268809872009335
2043-12-01,303877.04,Bull,9,0.0447631469094838,0.77,0.0022268809872009335
2044-01-01,317479.53,Bull,9,0.0447631469094838,0.77,0.0022268809872009335
2044-02-01,331690.92,Bull,9,0.0447631469094838,0.77,0.0022268809872009335
2044-03-01,346538.45,Bull,9,0.0447631469094838,0.77,0.0022268809872009335
2044-04-01,362050.6,Bull,9,0.0447631469094838,0.77,0.0022268809872009335
2044-05-01,378257.12,Bull,9,0.0447631469094838,0.77,0.0022268809872009335
2044-06-01,395189.1,Bull,9,0.0447631469094838,0.77,0.0022268809872009335
2044-07-01,412879.01,Bull,9,0.0447631469094838,0.77,0.0022268809872009335
2044-08-01,431360.77,Bull,9,0.0447631469094838,0.77,0.0022268809872009335
2044-09-01,450669.84,Bull,9,0.0447631469094838,0.77,0.0022268809872009335
2044-10-01,470843.24,Bull,9,0.0447631469094838,0.77,0.0022268809872009335
2044-11-01,491919.66,Bull,9,0.0447631469094838,0.77,0.0022268809872009335
2044-12-01,513939.54,Bull,9,0.0447631469094838,0.77,0.0022268809872009335
2045-01-01,536945.09,Bull,9,0.0447631469094838,0.77,0.0022268809872009335
2045-02-01,560980.44,Bull,9,0.0447631469094838,0.77,0.0022268809872009335
2045-03-01,586091.69,Bull,9,0.0447631469094838,0.77,0.0022268809872009335
2045-04-01,612327.0,Bull,9,0.0447631469094838,0.77,0.0022268809872009335
2045-05-01,639736.68,Bull,9,0.0447631469094838,0.77,0.0022268809872009335
2045-06-01,668373.31,Bull,9,0.0447631469094838,0.77,0.0022268809872009335
2045-07-01,698291.8,Bull,9,0.0447631469094838,0.77,0.0022268809872009335
2045-08-01,729549.54,Bull,9,0.0447631469094838,0.77,0.0022268809872009335
2045-09-01,762206.47,Bull,9,0.0447631469094838,0.77,0.0022268809872009335
2045-10-01,796325.23,Bull,9,0.0447631469094838,0.77,0.0022268809872009335
2045-11-01,704532.66,Bear,10,0.04354202593798506,0.77,0.0013481991850226725
2045-12-01,623321.03,Bear,10,0.04354202593798506,0.77,0.0013481991850226725
2046-01-01,551470.69,Bear,10,0.04354202593798506,0.77,0.0013481991850226725
2046-02-01,487902.55,Bear,10,0.04354202593798506,0.77,0.0013481991850226725
2046-03-01,431661.92,Bear,10,0.04354202593798506,0.77,0.0013481991850226725
2046-04-01,381904.17,Bear,10,0.04354202593798506,0.77,0.0013481991850226725
2046-05-01,337881.99,Bear,10,0.04354202593798506,0.77,0.0013481991850226725
2046-06-01,298934.27,Bear,10,0.04354202593798506,0.77,0.0013481991850226725
2046-07-01,264476.05,Bear,10,0.04354202593798506,0.77,0.0013481991850226725
2046-08-01,233989.84,Bear,10,0.04354202593798506,0.77,0.0013481991850226725
